ProductID,ProductName,Brand,Category,SubCategory,UnitPrice,CostPrice,GrossMargin,StockQty,Rating,TotalReviews,Warranty,IsActive,LaunchDate
P0146,MSI Max55Midnight,MSI,Electronics,Printers,8640,6680,22.7%,295,3.3,998,1 Year,Yes,2024-02-16
P0147,HP Ultra77512GB,HP,Electronics,Cameras,78260,6580,91.6%,647,3.9,1981,2 Years,Yes,2019-01-07
P0148,Kingston S74Black,Kingston,Electronics,Smart TVs,66600,20280,69.5%,680,4.3,4288,3 Years,Yes,2024-11-24
P0149,Razer Max71Red,Razer,Accessories,Gaming Gear,830,500,39.8%,481,2.9,3169,3 Years,Yes,2019-03-08
P0150,Garmin Lite31256GB,Garmin,Accessories,Microphones,11760,5750,51.1%,106,4.5,2723,2 Years,Yes,2022-10-18
P0151,Transcend Ultra90,Transcend,Electronics,Smartphones,70720,46400,34.4%,186,4.6,516,6 Months,Yes,2021-04-05
P0152,Sony A414GB,Sony,Electronics,Laptops,147340,58640,60.2%,527,3.7,4448,6 Months,Yes,2021-02-21
P0153,Acer A84Black,Acer,Electronics,Tablets,55510,25900,53.3%,127,4.6,3579,6 Months,Yes,2023-05-03
P0154,Fitbit Ultra89,Fitbit,Electronics,Headphones,33100,12340,62.7%,531,3.4,676,6 Months,Yes,2021-01-09
P0155,Razer Lite1432GB,Razer,Electronics,Earbuds,2920,1520,47.9%,676,3.5,3652,6 Months,Yes,2023-12-24
P0156,Garmin A94Gold,Garmin,Electronics,Speakers,12250,7530,38.5%,281,4.2,469,1 Year,Yes,2023-07-22
P0157,Philips M4Red,Philips,Electronics,Smartwatches,10360,7780,24.9%,35,3.1,1933,3 Years,Yes,2019-05-13
P0158,Crucial Ultra481TB,Crucial,Electronics,Fitness Bands,4050,2420,40.2%,781,3.0,1127,3 Years,Yes,2022-02-15
P0159,WD A95512GB,WD,Electronics,Monitors,19190,13180,31.3%,530,3.7,4601,1 Year,Yes,2021-12-02
P0160,iBall S79Gold,iBall,Accessories,Keyboards,4980,3020,39.4%,502,3.2,1111,1 Year,Yes,2023-12-29
P0161,Lenovo Lite86,Lenovo,Accessories,Mice,3140,440,86.0%,563,4.0,2457,2 Years,Yes,2020-12-14
P0162,Philips S16Red,Philips,Accessories,Webcams,2640,2220,15.9%,142,3.3,4047,1 Year,Yes,2023-02-20
P0163,iQOO M79Green,iQOO,Accessories,Power Banks,1400,470,66.4%,316,3.7,3921,6 Months,Yes,2019-10-30
P0164,MI X58,MI,Accessories,USB Hubs,2410,1690,29.9%,529,3.6,4516,2 Years,Yes,2020-06-12
P0165,Oppo A16Red,Oppo,Accessories,Cables,1160,220,81.0%,311,3.2,2643,2 Years,Yes,2024-10-26
P0166,Acer Pro26256GB,Acer,Accessories,Chargers,2900,1310,54.8%,281,3.1,2480,1 Year,Yes,2020-11-21
P0167,Corsair M22Space Gray,Corsair,Storage,SSDs,12290,6430,47.7%,577,2.9,232,1 Year,Yes,2021-12-20
P0168,Transcend Neo544GB,Transcend,Storage,HDDs,7560,4120,45.5%,31,3.9,4469,3 Years,Yes,2022-05-22
P0169,Nothing Plus398GB,Nothing,Storage,Pen Drives,2160,330,84.7%,705,2.9,3601,6 Months,Yes,2021-04-15
P0170,Fitbit M41Midnight,Fitbit,Networking,Routers,6230,3430,44.9%,408,3.1,3035,1 Year,Yes,2024-03-25
P0171,Realme Ultra3216GB,Realme,Electronics,Printers,9620,4290,55.4%,51,3.4,3146,6 Months,Yes,2020-10-16
P0172,boAt Lite25Space Gray,boAt,Electronics,Cameras,28880,21830,24.4%,527,3.8,2527,6 Months,Yes,2023-05-30
P0173,Sennheiser S28Gold,Sennheiser,Electronics,Smart TVs,88460,54250,38.7%,49,2.9,4054,6 Months,Yes,2019-02-03
P0174,OnePlus M34Silver,OnePlus,Accessories,Gaming Gear,12420,6290,49.4%,782,3.7,370,6 Months,Yes,2021-03-08
P0175,Philips Pro10Green,Philips,Accessories,Microphones,7330,4730,35.5%,461,4.5,2291,1 Year,Yes,2020-02-01
P0176,Motorola Lite72Black,Motorola,Electronics,Smartphones,55920,14450,74.2%,203,4.1,3288,1 Year,Yes,2020-07-15
P0177,iBall Ultra67,iBall,Electronics,Laptops,84900,27760,67.3%,620,4.8,1145,3 Years,No,2022-07-28
P0178,Bose Neo95White,Bose,Electronics,Tablets,51220,30040,41.4%,519,4.6,4360,6 Months,Yes,2022-05-12
P0179,Nothing Lite4364GB,Nothing,Electronics,Headphones,7680,3710,51.7%,597,3.5,218,6 Months,Yes,2021-07-21
P0180,Micromax Neo62128GB,Micromax,Electronics,Earbuds,5890,4470,24.1%,644,4.4,3114,2 Years,Yes,2021-09-19
P0181,Sony X25Space Gray,Sony,Electronics,Speakers,1320,850,35.6%,321,3.7,3382,2 Years,Yes,2024-04-15
P0182,Lava M67128GB,Lava,Electronics,Smartwatches,14590,9790,32.9%,332,5.0,3918,6 Months,Yes,2020-12-10
P0183,iQOO Lite70Green,iQOO,Electronics,Fitness Bands,3900,3230,17.2%,709,3.4,3966,2 Years,No,2022-02-16
P0184,MSI S3932GB,MSI,Electronics,Monitors,57540,23940,58.4%,721,3.3,4005,3 Years,Yes,2022-01-25
P0185,Acer Neo87512GB,Acer,Accessories,Keyboards,9200,3290,64.2%,404,4.6,1199,3 Years,Yes,2019-11-20
P0186,Garmin Pro96Gold,Garmin,Accessories,Mice,4220,1060,74.9%,206,4.6,2221,3 Years,Yes,2021-09-07
P0187,WD Max29128GB,WD,Accessories,Webcams,6220,2510,59.6%,53,3.0,2705,6 Months,Yes,2020-07-17
P0188,Apple M53Green,Apple,Accessories,Power Banks,4600,2360,48.7%,666,3.2,2353,3 Years,Yes,2019-08-31
P0189,Itel Neo30256GB,Itel,Accessories,USB Hubs,2690,1810,32.7%,740,4.7,305,2 Years,Yes,2020-12-21
P0190,Sony Ultra24White,Sony,Accessories,Cables,690,100,85.5%,9,3.5,4937,1 Year,No,2022-10-04
P0191,Acer Max68Gold,Acer,Accessories,Chargers,2320,450,80.6%,516,3.8,1579,1 Year,Yes,2024-02-23
P0192,Transcend M216GB,Transcend,Storage,SSDs,13570,6420,52.7%,302,4.0,1582,2 Years,Yes,2023-07-19
P0193,Oppo Lite12Red,Oppo,Storage,HDDs,5780,4240,26.6%,97,3.2,1151,6 Months,Yes,2021-10-13
P0194,Apple Plus3116GB,Apple,Storage,Pen Drives,2130,1720,19.2%,273,4.9,2473,1 Year,Yes,2023-01-12
P0195,Intex A868GB,Intex,Networking,Routers,2940,1550,47.3%,314,3.2,4116,3 Years,Yes,2022-04-23
P0196,Philips S29Midnight,Philips,Electronics,Printers,9380,7420,20.9%,156,3.8,4962,3 Years,Yes,2024-04-12
P0197,TCL S98Green,TCL,Electronics,Cameras,40440,27790,31.3%,772,4.1,670,6 Months,Yes,2023-01-21
P0198,HP X8Space Gray,HP,Electronics,Smart TVs,83780,67170,19.8%,517,3.2,4396,2 Years,Yes,2024-11-01
P0199,Vivo S92512GB,Vivo,Accessories,Gaming Gear,10050,8310,17.3%,93,4.8,3649,1 Year,Yes,2024-10-03
P0200,Google Neo8Gold,Google,Accessories,Microphones,10150,4390,56.7%,688,4.6,178,6 Months,Yes,2019-01-13
P0201,Lava Neo104GB,Lava,Electronics,Smartphones,13940,8470,39.2%,352,4.3,4433,1 Year,No,2019-10-10
P0202,Nothing Pro53128GB,Nothing,Electronics,Laptops,48590,22440,53.8%,784,4.2,3443,3 Years,No,2023-04-16
P0203,Vivo Plus11White,Vivo,Electronics,Tablets,29430,19400,34.1%,121,3.2,4401,6 Months,Yes,2021-07-01
P0204,Apple Pro6064GB,Apple,Electronics,Headphones,28290,17730,37.3%,388,4.6,2027,6 Months,Yes,2022-02-03
P0205,Anker A85512GB,Anker,Electronics,Earbuds,14040,10250,27.0%,784,4.9,128,2 Years,Yes,2020-02-18
P0206,Crucial Ultra77128GB,Crucial,Electronics,Speakers,22720,11920,47.5%,49,3.3,362,6 Months,Yes,2021-06-08
P0207,TCL M65128GB,TCL,Electronics,Smartwatches,19960,4440,77.8%,749,4.1,4730,3 Years,Yes,2020-08-09
P0208,Zebronics S53Red,Zebronics,Electronics,Fitness Bands,3460,1730,50.0%,62,4.0,4846,2 Years,Yes,2023-10-16
P0209,MSI A45Blue,MSI,Electronics,Monitors,49160,29980,39.0%,537,3.5,3410,6 Months,Yes,2023-03-22
P0210,Logitech Ultra31Green,Logitech,Accessories,Keyboards,3990,1410,64.7%,724,3.1,3793,1 Year,Yes,2023-09-03
P0211,MSI M50Red,MSI,Accessories,Mice,2290,700,69.4%,208,3.5,647,6 Months,Yes,2020-01-14
P0212,Razer A354GB,Razer,Accessories,Webcams,4090,3360,17.8%,619,4.1,596,2 Years,Yes,2021-06-07
P0213,Nothing Lite394GB,Nothing,Accessories,Power Banks,820,510,37.8%,194,4.9,961,6 Months,No,2021-04-17
P0214,Motorola Max428GB,Motorola,Accessories,USB Hubs,3680,1460,60.3%,389,3.8,2943,3 Years,Yes,2024-10-01
